plantid,period,avg_mw
6179,2019_09,1298.6
6179,2019_10,789.7
6179,2019_11,653.5
6179,2019_12,808.3
6179,2020_01,711.7
6179,2020_02,740.9
6179,2020_03,1169.5
6179,2020_04,947.1
6179,2020_05,766.9
6179,2020_06,888.5
6179,2020_07,1201.8
6179,2020_08,1417.2
6179,2020_09,1242.0
6179,2020_10,914.9
6179,2020_11,961.5
6179,2020_12,990.5
6179,2021_01,1322.0
6179,2021_02,1221.2
6179,2021_03,1018.0
6179,2021_04,1045.8
6179,2021_05,1148.9
6179,2021_06,1521.2
6179,2021_07,1497.1
6179,2021_08,1493.0
6179,2021_09,1451.0
6179,2021_10,1036.5
6179,2021_11,738.6
6179,2021_12,597.3
6179,2022_01,1099.5
6179,2022_02,1134.7
6179,2022_03,1224.2
6179,2022_04,1297.1
6179,2022_05,833.1
6179,2022_06,1126.7
6179,2022_07,1300.6
6179,2022_08,1462.4
6179,2022_09,1285.3
6179,2022_10,797.1
6179,2022_11,719.9
6179,2022_12,1088.4
6179,2023_01,914.2
6179,2023_02,805.4
6179,2023_03,934.5
6179,2023_04,678.2
6179,2023_05,849.9
6179,2023_06,1051.2
6179,2023_07,1099.1
6179,2023_08,1185.0
6179,2023_09,1083.3
6179,2023_10,643.5
6179,2023_11,655.1
6179,2023_12,566.2
6179,2024_01,875.1
6179,2024_02,708.0
6179,2024_03,807.9
6179,2024_04,663.9
6179,2024_05,765.4
6179,2024_06,988.3
6179,2024_07,857.9
6179,2024_08,999.9
6179,2024_09,999.4
6179,2024_10,683.6
6179,2024_11,646.7
6179,2024_12,737.1
6179,2025_01,1062.9
6179,2025_02,1051.8
6179,2025_03,907.2
6179,2025_04,881.4
6179,2025_05,905.5
6179,2025_06,1138.6
6179,2025_07,1135.3
6179,2025_08,1143.3
6179,2025_09,1127.9
6179,2025_10,752.8
6179,2025_11,752.9
6179,2025_12,728.9
6179,2026_01,978.3
6179,2026_02,950.8
6179,2026_03,926.5
6251,2001_01,2535.4
6251,2001_02,2269.9
6251,2001_03,1376.3
6251,2001_04,2352.6
6251,2001_05,2351.6
6251,2001_06,2505.3
6251,2001_07,2503.2
6251,2001_08,2501.9
6251,2001_09,2478.4
6251,2001_10,1274.3
6251,2001_11,2529.8
6251,2001_12,2526.8
6251,2002_01,2523.7
6251,2002_02,2522.2
6251,2002_03,2519.2
6251,2002_04,2503.3
6251,2002_05,2491.4
6251,2002_06,2294.2
6251,2002_07,2425.7
6251,2002_08,2504.3
6251,2002_09,2512.6
6251,2002_10,1292.9
6251,2002_11,901.2
6251,2002_12,1622.6
6251,2003_01,1334.7
6251,2003_02,1277.1
6251,2003_03,1569.7
6251,2003_04,1258.4
6251,2003_05,1245.1
6251,2003_06,1247.2
6251,2003_07,1242.5
6251,2003_08,2083.7
6251,2003_09,2536.8
6251,2003_10,2555.9
6251,2003_11,2548.7
6251,2003_12,2555.5
6251,2004_01,2411.6
6251,2004_02,2563.2
6251,2004_03,2508.2
6251,2004_04,1344.4
6251,2004_05,2552.3
6251,2004_06,2547.2
6251,2004_07,2537.7
6251,2004_08,2536.1
6251,2004_09,2545.1
6251,2004_10,2552.0
6251,2004_11,2564.2
6251,2004_12,2519.6
6251,2005_01,2567.3
6251,2005_02,2121.9
6251,2005_03,1539.0
6251,2005_04,1872.0
6251,2005_05,2553.1
6251,2005_06,2538.9
6251,2005_07,2529.8
6251,2005_08,2507.3
6251,2005_09,2490.8
6251,2005_10,1292.7
6251,2005_11,2517.4
6251,2005_12,2577.5
6251,2006_01,2578.6
6251,2006_02,2580.7
6251,2006_03,2575.5
6251,2006_04,2567.9
6251,2006_05,2556.5
6251,2006_06,2549.4
6251,2006_07,2545.9
6251,2006_08,2539.1
6251,2006_09,2436.9
6251,2006_10,1275.7
6251,2006_11,2432.4
6251,2006_12,2653.9
6251,2007_01,2659.3
6251,2007_02,2633.6
6251,2007_03,2193.2
6251,2007_04,1418.0
6251,2007_05,2684.4
6251,2007_06,2657.1
6251,2007_07,2653.6
6251,2007_08,2614.4
6251,2007_09,2654.4
6251,2007_10,2681.2
6251,2007_11,2710.7
6251,2007_12,2716.3
6251,2008_01,2725.5
6251,2008_02,2721.6
6251,2008_03,2496.5
6251,2008_04,1471.7
6251,2008_05,2683.9
6251,2008_06,2654.3
6251,2008_07,2647.9
6251,2008_08,2646.2
6251,2008_09,2615.3
6251,2008_10,1466.5
6251,2008_11,2506.5
6251,2008_12,2726.2
6251,2009_01,2723.3
6251,2009_02,2703.5
6251,2009_03,2690.7
6251,2009_04,2685.6
6251,2009_05,2656.5
6251,2009_06,2629.5
6251,2009_07,2614.8
6251,2009_08,2615.2
6251,2009_09,2072.1
6251,2009_10,1327.8
6251,2009_11,1825.1
6251,2009_12,2719.2
6251,2010_01,2556.0
6251,2010_02,2405.6
6251,2010_03,2524.2
6251,2010_04,1333.0
6251,2010_05,2546.1
6251,2010_06,2646.4
6251,2010_07,2642.3
6251,2010_08,2539.9
6251,2010_09,2650.1
6251,2010_10,2688.8
6251,2010_11,1639.8
6251,2010_12,2723.6
6251,2011_01,2714.0
6251,2011_02,2726.0
6251,2011_03,2702.8
6251,2011_04,1420.5
6251,2011_05,2315.2
6251,2011_06,2665.7
6251,2011_07,2651.3
6251,2011_08,2504.0
6251,2011_09,2669.8
6251,2011_10,2590.0
6251,2011_11,1612.6
6251,2011_12,1335.5
6251,2012_01,1345.0
6251,2012_02,1339.3
6251,2012_03,1283.1
6251,2012_04,1655.2
6251,2012_05,2684.1
6251,2012_06,2661.8
6251,2012_07,2651.0
6251,2012_08,2646.4
6251,2012_09,2663.9
6251,2012_10,2175.4
6251,2012_11,1453.5
